,address,city,zip,State
932,13754 AURORA AVE N #D,seattle,98133.0,WA
933,10055 16TH AVE SW ,seattle,98146.0,WA
936,1530 POST ALY #B,seattle,98101.0,WA
947,7902 35TH AVE SW,seattle,98126.0,WA
951,4130 ROOSEVELT WAY NE ,seattle,98105.0,WA
965,1530 3RD AVE,seattle,98101.0,WA
973,1507 QUEEN ANNE AVE N ,seattle,98109.0,WA
981,8515 35TH AVE NE ,seattle,98115.0,WA
992,1517 PIKE PL,seattle,98101.0,WA
1003,809 FAIRVIEW PL N ,seattle,98109.0,WA
1013,11730 PINEHURST WAY NE ,seattle,98125.0,WA
1015,1718 N 45TH ST,seattle,98103.0,WA
1024,17535 BALLINGER WAY NE ,lake forest park,98155.0,WA
1031,1940 1ST AVE S,seattle,98134.0,WA
1034,8519 15TH AVE NW ,seattle,98117.0,WA
1043,810 E ROY ST ,seattle,98102.0,WA
1054,5517 ROOSEVELT WAY NE ,seattle,98105.0,WA
1067,2801 WESTERN AVE #B,seattle,98121.0,WA
1072,8518 GREENWOOD AVE N ,seattle,98103.0,WA
1083,1514 PIKE PL ,seattle,98101.0,WA
1084,118 CHERRY ST ,seattle,98104.0,WA
1092,4559 CALIFORNIA AVE SW ,seattle,98116.0,WA
1105,1919 S JACKSON ST,seattle,98144.0,WA
1116,6415 8TH AVE NW ,seattle,98107.0,WA
1121,4910 Leary AVE NW,seattle,98107.0,WA
1128,5300 15TH AVE NW,seattle,98107.0,WA
1138,10003 RAINIER AVE S,seattle,98118.0,WA
1146,5903 1ST AVE S,seattle,98108.0,WA
1150,6417 ROOSEVELT WAY NE STE 201,seattle,98115.0,WA
1158,6615 E MARGINAL WAY S ,seattle,98108.0,WA
1168,806 NW 85TH ST ,seattle,98117.0,WA
1178,424 MAYNARD AVE S,seattle,98104.0,WA
1179,823 3RD AVE #105,seattle,98104.0,WA
1180,1412 HARVARD AVE,seattle,98122.0,WA
1186,200 ROY ST 104,seattle,98109.0,WA
1192,1207 S JACKSON ST ,seattle,98144.0,WA
1204,235 BROADWAY AVE E ,seattle,98102.0,WA
1214,600 PINE ST STE 405,seattle,98101.0,WA
1215,1213 MADISON ST ,seattle,98104.0,WA
1222,1530 POST ALY #3A,seattle,98101.0,WA
1223,2108 NE 65TH ST,seattle,98115.0,WA
1234,1514 PIKE PL #8,seattle,98101.0,WA
1237,526 2ND AVE ,seattle,98104.0,WA
1248,4743 BALLARD AVE NW #1B,seattle,98107.0,WA
1253,1415 1ST AVE ,seattle,98101.0,WA
1261,9808 14TH AVE SW,seattle,98106.0,WA
1269,401 NE NORTHGATE WAY,seattle,98125.0,WA
1272,401 NE NORTHGATE WAY #418,seattle,98125.0,WA
1275,2040 WESTLAKE AVE N ,seattle,98109.0,WA
1287,4543 UNIVERSITY WAY NE ,seattle,98105.0,WA
1303,2801 ALASKAN WAY,seattle,98121.0,WA
1305,81 PIKE ST ,seattle,98101.0,WA
1314,100 4TH AVE N,seattle,98109.0,WA
1323,2408 NW 80TH ST ,seattle,98117.0,WA
1324,2901 E MADISON ST ,seattle,98112.0,WA
1333,500 QUEEN ANNE AVE N ,seattle,98109.0,WA
1343,10230 16TH AVE SW ,seattle,98146.0,WA
1345,6417 LATONA AVE NE ,seattle,98115.0,WA
1351,2666 ALKI AVE SW,seattle,98116.0,WA
1364,1112 PIKE ST,seattle,98101.0,WA
1366,3220 S HUDSON ST,seattle,98118.0,WA
1372,8501 5TH AVE NE ,seattle,98115.0,WA
1384,1221 E PIKE ST ,seattle,98122.0,WA
1395,8523 GREENWOOD AVE N ,seattle,98103.0,WA
1406,925 4TH AVE ,seattle,98104.0,WA
1414,12354 15TH AVE NE STE C,seattle,98125.0,WA
1418,1117 12TH AVE ,seattle,98122.0,WA
1430,1321 1ST AVE,seattle,98101.0,WA
1437,12248 AURORA AVE N STE B,seattle,98133.0,WA
1440,4213 UNIVERSITY WAY NE ,seattle,98105.0,WA
1452,4116 UNIVERSITY WAY NE ,seattle,98105.0,WA
1465,1200 S JACKSON ST ,seattle,98144.0,WA
1475,4720 CALIFORNIA AVE SW ,seattle,98116.0,WA
1486,4735 UNIVERSITY WAY NE ,seattle,98105.0,WA
1497,4749 UNIVERSITY WAY NE ,seattle,98105.0,WA
1501,622 1ST AVE N ,seattle,98109.0,WA
1511,8310 5TH AVE NE ,seattle,98115.0,WA
1513,2320 N 45TH ST,seattle,98103.0,WA
1519,719 E PIKE ST,seattle,98122.0,WA
1521,2207 NE 65TH ST,seattle,98115.0,WA
1525,1721 1ST AVE S ,seattle,98134.0,WA
1533,916 E JOHN ST ,seattle,98102.0,WA
1542,5210 UNIVERSITY WAY NE,seattle,98105.0,WA
1543,3427 RAINIER AVE S ,seattle,98144.0,WA
1552,2600 1ST AVE ,seattle,98121.0,WA
1562,100 4TH AVE N #120,seattle,98109.0,WA
1564,13242 AURORA AVE N #105,seattle,98133.0,WA
1567,9025 25TH AVE SW,seattle,98126.0,WA
1568,2026 NW MARKET ST,seattle,98107.0,WA
1570,345 15TH AVE E ,seattle,98112.0,WA
1572,4008 NE 55TH ST ,seattle,98105.0,WA
1580,520 S JACKSON ST ,seattle,98104.0,WA
1586,2681 NE UNIVERSITY VILLAGE ST,seattle,98105.0,WA
1588,1521 MELROSE AVE,seattle,98122.0,WA
1591,6261 13TH AVE S,seattle,98108.0,WA
1602,2853 NW MARKET ST ,seattle,98107.0,WA
1611,9627 15TH AVE SW,seattle,98106.0,WA
1616,4300 LEARY WAY NW ,seattle,98107.0,WA
1624,6119 PHINNEY AVE N ,seattle,98103.0,WA
1636,6012 PHINNEY AVE N ,seattle,98103.0,WA
1647,2445 4TH AVE S ,seattle,98134.0,WA
1657,432 BROADWAY AVE E ,seattle,98102.0,WA
1667,617 BROADWAY AVE E,seattle,98102.0,WA
1668,446 TERRY AVE N,seattle,98109.0,WA
1669,4005 AIRPORT WAY S,seattle,98108.0,WA
1670,3526 FREMONT PL N,seattle,98103.0,WA
1675,1200 3rd AVE #110,seattle,98101.0,WA
1678,9749 HOLMAN RD NW ,seattle,98117.0,WA
1691,1608 N 45TH ST ,seattle,98103.0,WA
1699,700 5TH AVE #602,seattle,98104.0,WA
1702,4922 S GENESEE ST ,seattle,98118.0,WA
1713,501 SENECA ST ,seattle,98101.0,WA
1720,83 SPRING ST ,seattle,98104.0,WA
1730,1916 POST ALY ,seattle,98101.0,WA
1741,1420 5TH AVE #203,seattle,98101.0,WA
1747,1224 1ST AVE,seattle,98101.0,WA
1753,4401 WALLINGFORD AVE N ,seattle,98103.0,WA
1765,2401 NW Market ST,seattle,98107.0,WA
1771,86 PINE ST,seattle,98101.0,WA
1780,7016 E MARGINAL WAY S,seattle,98108.0,WA
1781,9304 RAINIER AVE S,seattle,98118.0,WA
1782,11064 LAKE CITY WAY NE ,seattle,98125.0,WA
1794,2621 5TH AVE ,seattle,98121.0,WA
1795,4307 FREMONT AVE N ,seattle,98103.0,WA
1798,1410 NE 40TH ST,seattle,98105.0,WA
1809,8855 9TH AVE SW,seattle,98106.0,WA
1817,701 5TH AVE 111,seattle,98104.0,WA
1821,701 5TH AVE #110,seattle,98104.0,WA
1822,11546 15TH AVE NE ,seattle,98125.0,WA
1828,11546 15TH AVE NE,seattle,98125.0,WA
1833,5146 25TH AVE NE,seattle,98105.0,WA
1842,4719 CALIFORNIA AVE SW,seattle,98116.0,WA
1855,2008 NW 56TH ST,seattle,98107.0,WA
1858,4226 UNIVERSITY WAY NE ,seattle,98105.0,WA
1871,400 N 35TH ST ,seattle,98103.0,WA
1884,12526 LAKE CITY WAY NE,seattle,98125.0,WA
1885,2230 1ST AVE ,seattle,98121.0,WA
1895,4141 UNIVERSITY WAY NE,seattle,98105.0,WA
1903,1902 PIKE PL,seattle,98101.0,WA
1915,823 5TH AVE N ,seattle,98109.0,WA
1924,4505 39TH AVE SW ,seattle,98126.0,WA
1929,13520 AURORA AVE N ,seattle,98133.0,WA
1937,103 YESLER WAY,seattle,98104.0,WA
1939,1612 N 45TH ST,seattle,98103.0,WA
1945,3756 RAINIER AVE S #A,seattle,98144.0,WA
1952,2322 1ST AVE ,seattle,98121.0,WA
1956,9400 35TH AVE NE ,seattle,98115.0,WA
1963,102 1ST AVE S,seattle,98104.0,WA
1967,4759 BROOKLYN AVE NE ,seattle,98105.0,WA
1978,5315 BALLARD AVE NW ,seattle,98107.0,WA
