restaurant_id,restaurant_name,rating,review_count,locality,street_address,categories
08VjO10RpE--0yCVlA_4dQ,The New Pandasia,2.5,63,Seattle,1625 W Dravus St,"[u'Asian Fusion', u'Chinese', u'Restaurants']"
6rKlsSh4oY2nfTVyC4aBPA,The Night Kitchen,3,78,Seattle,216 Stewart St,"[u'American (New)', u'Restaurants']"
Jk30c9y76fmoWtu8yp75Zw,The Nook,4.5,15,Seattle,3217 W McGraw St,"[u'American (New)', u'Sandwiches', u'Restaurants']"
xizLd0LRpXEKzZSBZAAwJA,The Noble Fir,4,105,Seattle,5316 Ballard Ave NW,"[u'Tapas/Small Plates', u'Bars', u'Nightlife', u'Restaurants']"
STTG8_tBbP2W-vFITIw1eg,The Northside Grill,4,6,Seattle,8550 Greenwood Ave N,"[u'American (New)', u'Moroccan', u'Restaurants']"
YeeUf7VeOql2cL5SVz4KhA,The Monkey Bridge,4,259,Seattle,1723 NW Market St,"[u'Vietnamese', u'Sandwiches', u'Restaurants']"
PzN_ajAY0ymgsvzDcoUpVg,The Light Gourmet,5,1,Seattle,4545 University Way NE,"[u'Japanese', u'Restaurants']"
PtNR-ag1HEtuwr688MLOtw,The Lemongrass,3.5,94,Seattle,514 12th Ave,"[u'Vietnamese', u'Restaurants']"
-6DpfQ7WZpFLF0P3uZAfDQ,The Leary Traveler,4,108,Seattle,4356 Leary Way NW,"[u'Pubs', u'Bars', u'American (New)', u'Nightlife', u'Restaurants']"
vp73hjBFWVak8UheMY0kTA,The Lemongrass,3.5,58,Seattle,1207 S Jackson St,"[u'Vietnamese', u'Restaurants']"
55lBvAt8fWEM4jFsK1Cd_w,The Little Red Hen,4,91,Seattle,7115 Woodlawn Ave NE,"[u'Karaoke', u'Country Dance Halls', u'American (New)', u'Nightlife', u'Restaurants']"
aI_iECVbfw9ZbW3TvWGNfw,The Living Room,4,99,Seattle,1355 E Olive Way,"[u'Bars', u'Mediterranean', u'Nightlife', u'Lounges', u'Restaurants']"
PSdKX1v9uxQETK8SSIpbFQ,The Lost Lady American Cantina,3,4,Seattle,621 Union St,"[u'Mexican', u'Restaurants']"
e1gbV3y34c9oWjvvxwBgtw,The Lone Pierogi,5,1,Seattle,University Heights Center Plaza,"[u'Food Stands', u'Restaurants']"
