address,city,zip,tract
1429 4TH AVE,seattle,98101,81
1430 HARVARD AVE 20,seattle,98122,84
14300 AURORA AVE N,seattle,98133,3
14303 AURORA AVE N,seattle,98133,4.01
1433 4TH AVE,seattle,98101,81
14330 LAKE CITY WAY NE STE 101,seattle,98125,1
14340 15TH AVE NE,seattle,98125,2
14346 15TH AVE NE,seattle,98125,2
1435 1ST AVE,seattle,98101,81
14356 AURORA AVE N,seattle,98133,3
1447 NW BALLARD WAY,seattle,98107,47
14515 AURORA AVE N,shoreline,98133,209
1452 NW 70TH ST,seattle,98117,30
14553 BOTHELL WAY NE,shoreline,98155,213
1467 E REPUBLICAN ST,seattle,98112,75
1483 ALASKAN WAY,seattle,98101,93
1501 17TH AVE E,seattle,98112,62
1501 4TH AVE,seattle,98101,81
1501 A MELROSE AVE,seattle,98122,83
1501 PIKE PL,seattle,98101,81
1501 WESTERN AVE,seattle,98101,81
1503 1ST AVE,seattle,98101,81
1506 PIKE PL,seattle,98101,81
1507 QUEEN ANNE AVE N,seattle,98109,68
1508 MELROSE AVE,seattle,98122,84
1509 1ST AVE,seattle,98101,81
1509 PIKE PL #3,seattle,98101,81
1510 NE 117TH ST STE B,seattle,98125,7
1511 7TH AVE,seattle,98101,82
1511 PIKE PL,seattle,98101,81
1514 PIKE PL,seattle,98101,81
1514 PIKE PL #8,seattle,98101,81
1514 PIKE PL SITE 2,seattle,98101,81
1515 QUEEN ANNE AVE N,seattle,98109,68
1515 WESTLAKE AVE N,seattle,98109,67
1517 PIKE PL,seattle,98101,81
1517 SW 104TH ST,seattle,98146,268.01
1518 PIKE PL,seattle,98101,81
1519 PIKE PL,seattle,98101,81
1520 4TH AVE,seattle,98101,81
1520 7TH AVE,seattle,98101,82
1520 PIKE PL,seattle,98101,81
1521 MELROSE AVE,seattle,98122,83
1522 12TH AVE,seattle,98122,75
15252 AURORA AVE N,shoreline,98133,209
1526 PIKE PL,seattle,98101,81
1529 6TH AVE,seattle,98101,82
1530 3RD AVE,seattle,98101,81
1530 POST ALY #3A,seattle,98101,81
1530 POST ALY #B,seattle,98101,81
15305 8TH AVE SW,seattle,98166,278
1531 14TH AVE,seattle,98122,75
1531 MELROSE AVE,seattle,98122,84
1531 MELROSE AVE E #-6,seattle,98122,84
1533 PIKE PL,seattle,98101,81
1536 PIKE PL,seattle,98101,81
1538 12TH AVE #B,seattle,98122,75
1554 E OLIVE WAY,seattle,98102,74.02
1600 MELROSE AVE,seattle,98122,84
1600 PIKE PL,seattle,98101,81
1601 HARVARD AVE,seattle,98122,84
1604 N 34TH ST,seattle,98103,54
1608 N 45TH ST,seattle,98103,50
1612 N 45TH ST,seattle,98103,50
1613 W DRAVUS ST,seattle,98119,58.02
1614 W DRAVUS ST,seattle,98119,58.01
1616 EASTLAKE AVE E,seattle,98102,66
1618 1/2 N 45TH ST,seattle,98103,50
1620 4TH AVE #4,seattle,98101,81
1621 E OLIVE WAY,seattle,98102,74.02
1629 6TH AVE,seattle,98101,82
1629 EASTLAKE AVE E,seattle,98102,66
1635 8TH AVE,seattle,98101,82
164 S WASHINGTON ST,seattle,98104,92
1660 HARBOR AVE SW,seattle,98126,96
170 S KING ST,seattle,98104,93
1700 7TH AVE,seattle,98101,73
1706 RAINIER AVE S,seattle,98144,94
1707 NW MARKET ST,seattle,98107,47
1714 18TH AVE,seattle,98122,79
1718 N 45TH ST,seattle,98103,50
1719 SW ROXBURY ST,seattle,98106,266
1721 1ST AVE S,seattle,98134,93
1722 NW MARKET ST,seattle,98107,47
1723 NW MARKET ST,seattle,98107,47
173 S Washington ST,seattle,98104,92
17535 BALLINGER WAY NE,lake forest park,98155,214
1759 1ST AVE S,seattle,98134,93
1801 N 34TH ST,seattle,98103,54
1805 QUEEN ANNE AVE N #100,seattle,98109,68
1815 N 45TH ST #103,seattle,98103,51
1818 WESTLAKE AVE N,seattle,98109,67
1827 15TH AVE W,seattle,98119,58.02
1827 15TH AVE W A-10,seattle,98119,58.02
1830 12TH AVE,seattle,98122,75
1830 MINOR AVE,seattle,98101,73
1833 BROADWAY AVE,seattle,98122,74.02
1900 W NICKERSON ST #108,seattle,98119,58.01
1900 W NICKERSON ST STE 102,seattle,98119,58.01
1901 2ND AVE,seattle,98101,81
1902 PIKE PL,seattle,98101,80.02
19021 INTERNATIONAL BL,sea tac,98188,288.01
1904 PIKE PL,seattle,98101,80.02
1907 4TH AVE S,seattle,98134,93
1908 3RD AVE,seattle,98101,72
1916 POST ALY,seattle,98101,80.02
1918 8TH AVE FL 11,seattle,98101,73
1919 POST ALY,seattle,98101,80.02
1919 S JACKSON ST,seattle,98144,90
1920 DEXTER AVE N,seattle,98109,67
1920 PIKE PL,seattle,98101,80.02
1928 PIKE PL,seattle,98101,80.02
1930 PIKE PL,seattle,98101,80.02
1933 1ST AVE,seattle,98101,80.02
1936 HARBOR AVE SW,seattle,98126,96
1937 1ST AVE,seattle,98101,80.02
1940 1ST AVE S,seattle,98134,93
1940 WESTLAKE AVE,seattle,98101,73
1943 1ST AVE S,seattle,98134,93
1950 6TH AVE,seattle,98101,72
200 PIKE ST,seattle,98101,81
200 ROY ST 104,seattle,98109,70
200 TAYLOR AVE N,seattle,98109,72
2000 4TH AVE,seattle,98121,72
2001 4TH AVE,seattle,98121,72
2005 NW MARKET ST,seattle,98107,47
2008 NW 56TH ST,seattle,98107,47
2010 4TH AVE,seattle,98121,72
2010 WESTERN AVE,seattle,98121,80.02
2020 2ND AVE,seattle,98121,80.02
2020 WESTERN AVE,seattle,98121,80.02
2021 NW MARKET ST,seattle,98107,47
2021 RAINIER AVE S,seattle,98144,94
2026 NW MARKET ST,seattle,98107,47
2030 5TH AVE,seattle,98121,72
2040 WESTLAKE AVE N,seattle,98109,67
2043 EASTLAKE AVE E,seattle,98102,66
205 1ST AVE S,seattle,98104,92
2050 S COLUMBIAN WAY,seattle,98108,100.01
206 N 36TH ST,seattle,98103,48
207 1ST AVE S,seattle,98104,92
20717 INTERNATIONAL BL,seattle,98198,288.01
209 2ND AVE S,seattle,98104,92
21 MERCER ST,seattle,98109,71
210 BROADWAY E,seattle,98102,75
2100 24TH AVE S,seattle,98144,95
2100 N NORTHGATE WAY #E,seattle,98133,12
2101 4TH AVE #140,seattle,98121,72
2106 N 55TH ST,seattle,98103,46
2108 NE 65TH ST,seattle,98115,25
2110 N 55TH ST,seattle,98103,46
2112 NE 65TH ST,seattle,98115,25
2114 N 45TH ST,seattle,98103,51
2115 QUEEN ANNE AVE N,seattle,98109,68
2120 W EMERSON PL,seattle,98199,58.01
2121 QUEEN ANNE AVE N,seattle,98109,68
2123 E UNION ST,seattle,98122,79
2123 N 40TH ST,seattle,98103,51
2123 QUEEN ANNE AVE N,seattle,98109,68
2125 QUEEN ANNE AVE N,seattle,98109,68
2129 QUEEN ANNE AVE N,seattle,98109,68
213 BROADWAY AVE E,seattle,98102,74.02
213 MARION ST,seattle,98104,81
213 N 85TH ST,seattle,98103,29
213 PIKE ST,seattle,98101,81
2132 N NORTHGATE WAY,seattle,98133,12
2132 WESTLAKE AVE N,seattle,98109,60
2137 N NORTHGATE WAY,seattle,98133,12
214 1ST AVE S,seattle,98104,92
215 JAMES ST,seattle,98104,81
216 UNION ST,seattle,98101,81
217 PIKE ST,seattle,98101,81
219 BROADWAY AVE E #26B,seattle,98102,74.02
2200 2ND AVE,seattle,98121,80.01
2200 S JACKSON ST,seattle,98144,90
2200 WESTLAKE AVE,seattle,98121,73
2201 4TH AVE S,seattle,98134,93
2201 ALASKAN WAY,seattle,98121,80.01
2201 QUEEN ANNE AVE N,seattle,98109,68
2201 Westlake AVE #101,seattle,98121,72
2207 1ST AVE,seattle,98121,80.02
2207 NE 65TH ST,seattle,98115,43.01
2208 QUEEN ANNE AVE N,seattle,98109,68
221 1ST AVE S,seattle,98104,92
2212 E CHERRY ST,seattle,98122,87
2212 N 45TH ST,seattle,98103,51
2214 2ND AVE,seattle,98121,80.01
222 5TH AVE N,seattle,98109,72
2220 QUEEN ANNE AVE N,seattle,98109,68
2221 NW MARKET ST,seattle,98107,47
2226 1ST AVE,seattle,98121,80.01
2228 2ND AVE,seattle,98121,80.01
2230 1ST AVE,seattle,98121,80.01
2231 32ND AVE W,seattle,98199,56
2232 QUEEN ANNE AVE N,seattle,98109,68
2234 1ST AVE,seattle,98121,80.01
2234 2ND AVE,seattle,98121,80.01
2248 NW Market ST,seattle,98107,47
225 12TH AVE S,seattle,98144,91
2253 N 56TH ST,seattle,98103,46
2255 NE 65TH ST,seattle,98115,43.01
2260 1ST AVE S,seattle,98134,93
2300 CALIFORNIA AVE SW,seattle,98116,96
2300 NE 65TH ST,seattle,98115,25
2301 N 45TH ST,seattle,98103,51
2301 NW MARKET ST,seattle,98107,47
2305 EASTLAKE AVE E,seattle,98102,61
2305 NW MARKET ST,seattle,98107,47
2308 E Union ST,seattle,98122,77
2313 N 45TH ST,seattle,98103,51
232 1ST AVE W,seattle,98119,71
2320 N 45TH ST,seattle,98103,51
2322 1ST AVE,seattle,98121,80.01
